un1,un2,un3,un4,un5,un6,line
"0","964526","32496","0","3","-15","116.3911028163367700 39.9916771036425730 -15.0000000000000000, 116.3911028163367700 39.9916964533559560 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3911222641372700 39.9916767452677110 -15.0000000000000000, 116.3911241835231200 39.9917872809563590 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905128827602800 39.9913869535135970 -15.0000000000000000, 116.3905090062104800 39.9912953549358790 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905090062104800 39.9912953549358790 -15.0000000000000000, 116.3905042401611100 39.9912334345008770 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905042401611100 39.9912334345008770 -15.0000000000000000, 116.3905073937457500 39.9912243377505660 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905073937457500 39.9912243377505660 -15.0000000000000000, 116.3905152020966500 39.9912273593893560 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905152020966500 39.9912273593893560 -15.0000000000000000, 116.3905192597693100 39.9912158125554170 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905073937457500 39.9912243377505660 -15.0000000000000000, 116.3905817505376200 39.9909836059182170 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905817505376200 39.9909836059182170 -15.0000000000000000, 116.3905992493389000 39.9909897954269410 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905992493389000 39.9909897954269410 -15.0000000000000000, 116.3906050586636200 39.9909742784148820 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905817505376200 39.9909836059182170 -15.0000000000000000, 116.3906780268674800 39.9906956145831390 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3906780268674800 39.9906956145831390 -15.0000000000000000, 116.3906810751821400 39.9906839670360910 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3906780268674800 39.9906956145831390 -15.0000000000000000, 116.3906726441947100 39.9906940242303220 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3903442874620400 39.9924551557651140 -15.0000000000000000, 116.3903412013359300 39.9925742720841060 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3903412013359300 39.9925742720841060 -15.0000000000000000, 116.3903389938328000 39.9926021068010440 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3903389938328000 39.9926021068010440 -15.0000000000000000, 116.3902471241674300 39.9925998674733310 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3903389938328000 39.9926021068010440 -15.0000000000000000, 116.3904102316356300 39.9926022874536500 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3904102316356300 39.9926022874536500 -15.0000000000000000, 116.3905684252267600 39.9926040680319800 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905684252267600 39.9926040680319800 -15.0000000000000000, 116.3905851018731300 39.9926310591132220 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3905851018731300 39.9926310591132220 -15.0000000000000000, 116.3906865514385900 39.9926322009982800 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3906865514385900 39.9926322009982800 -15.0000000000000000, 116.3912079752155900 39.9926398871615870 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3912079752155900 39.9926398871615870 -15.0000000000000000, 116.3912668675923600 39.9926398083307790 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3912668675923600 39.9926398083307790 -15.0000000000000000, 116.3917451451781100 39.9926456417178710 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917451451781100 39.9926456417178710 -15.0000000000000000, 116.3917801292063100 39.9926464662203930 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917801292063100 39.9926464662203930 -15.0000000000000000, 116.3917797742822600 39.9926528130768160 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917797742822600 39.9926528130768160 -15.0000000000000000, 116.3918626409039700 39.9926548119605270 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918626409039700 39.9926548119605270 -15.0000000000000000, 116.3918791114631100 39.9926548119605270 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918791114631100 39.9926548119605270 -15.0000000000000000, 116.3918790838628900 39.9926406636219200 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918791114631100 39.9926548119605270 -15.0000000000000000, 116.3918789604197600 39.9927057375982640 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918789604197600 39.9927057375982640 -15.0000000000000000, 116.3918935935251400 39.9927057375982640 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3885977015490700 39.9924355331403660 -15.0000000000000000, 116.3885993517908900 39.9924179878841600 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3885993517908900 39.9924179878841600 -15.0000000000000000, 116.3886063212605500 39.9923052993159800 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3886063212605500 39.9923052993159800 -15.0000000000000000, 116.3885929793364400 39.9923053809262830 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3885929793364400 39.9923053809262830 -15.0000000000000000, 116.3885946768259300 39.9921378673557370 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3891231888187400 39.9924421105077950 -15.0000000000000000, 116.3891186722203300 39.9925520546269690 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3891186722203300 39.9925520546269690 -15.0000000000000000, 116.3891231888187400 39.9926829966220720 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3891231888187400 39.9926829966220720 -15.0000000000000000, 116.3891684670635400 39.9926829966220720 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3891684670635400 39.9926829966220720 -15.0000000000000000, 116.3891684670635400 39.9929577903864550 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3900952253082400 39.9924544437133850 -15.0000000000000000, 116.3900952253082400 39.9921981625623890 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3900952253082400 39.9921981625623890 -15.0000000000000000, 116.3900952253082400 39.9917872809563590 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3900952253082400 39.9917872809563590 -15.0000000000000000, 116.3900138728460300 39.9917837399897280 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3900138728460300 39.9917837399897280 -15.0000000000000000, 116.3900138728460300 39.9916736361175110 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3900952253082400 39.9921981625623890 -15.0000000000000000, 116.3899393650065700 39.9921981625623890 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3906810751821400 39.9906839670360910 -15.0000000000000000, 116.3907096636715700 39.9906009794276040 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3907096636715700 39.9906009794276040 -15.0000000000000000, 116.3907244592181500 39.9906050994590740 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3907244592181500 39.9906050994590740 -15.0000000000000000, 116.3908144988042600 39.9906388256270660 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3908144988042600 39.9906388256270660 -15.0000000000000000, 116.3908076916877800 39.9906592469764920 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3908076916877800 39.9906592469764920 -15.0000000000000000, 116.3908364672256100 39.9906666729217410 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3908364672256100 39.9906666729217410 -15.0000000000000000, 116.3909388833871400 39.9906940242303220 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909388833871400 39.9906940242303220 -15.0000000000000000, 116.3909499449514000 39.9906592469764920 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3909499449514000 39.9906592469764920 -15.0000000000000000, 116.3909957382804200 39.9905173804808530 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3900138728460300 39.9916736361175110 -15.0000000000000000, 116.3901485507373100 39.9916771036425730 -15.0000000000000000"
